Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Teste dos Casos,Chrome 136.0.7103.92,,,07-05-2025 21:14:02,07-05-2025 21:15:20,"1m - 17,768s",PASSED
,,,,,,,
Test Cases/Teste de Criação,Chrome 136.0.7103.92,,,07-05-2025 21:14:04,07-05-2025 21:14:20,"16,304s",PASSED
"openBrowser("""")",Chrome 136.0.7103.92,,,07-05-2025 21:14:06,07-05-2025 21:14:15,"9,081s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:15,07-05-2025 21:14:15,"0,380s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Nova tarefa""))",Chrome 136.0.7103.92,,,07-05-2025 21:14:15,07-05-2025 21:14:17,"1,954s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Nova Tarefa/input__title""), ""Arroz"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:17,07-05-2025 21:14:18,"0,950s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Nova Tarefa/input__deadline""), ""20/05/2025"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:18,07-05-2025 21:14:19,"1,006s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Nova Tarefa/button_Salvar""))",Chrome 136.0.7103.92,,,07-05-2025 21:14:19,07-05-2025 21:14:20,"1,136s",PASSED
,,,,,,,
Test Cases/Teste de Edição,Chrome 136.0.7103.92,,,07-05-2025 21:14:20,07-05-2025 21:14:31,"11,060s",PASSED
"openBrowser("""")",Chrome 136.0.7103.92,,,07-05-2025 21:14:21,07-05-2025 21:14:26,"4,938s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:26,07-05-2025 21:14:26,"0,220s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Editar""))",Chrome 136.0.7103.92,,,07-05-2025 21:14:26,07-05-2025 21:14:28,"2,226s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Editar de Tarefa/input__title""), ""Arroz com Carne"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:28,07-05-2025 21:14:29,"0,974s",PASSED
"setText(findTestObject(""Object Repository/Page_TWTodos - Editar de Tarefa/input__deadline""), ""20/05/2026"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:29,07-05-2025 21:14:30,"1,183s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Editar de Tarefa/button_Salvar""))",Chrome 136.0.7103.92,,,07-05-2025 21:14:30,07-05-2025 21:14:31,"0,926s",PASSED
,,,,,,,
Test Cases/Teste de Conclusão de tarefa,Chrome 136.0.7103.92,,,07-05-2025 21:14:31,07-05-2025 21:14:40,"8,972s",PASSED
"openBrowser("""")",Chrome 136.0.7103.92,,,07-05-2025 21:14:32,07-05-2025 21:14:38,"6,187s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:38,07-05-2025 21:14:39,"0,897s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Concluir""))",Chrome 136.0.7103.92,,,07-05-2025 21:14:39,07-05-2025 21:14:40,"1,391s",PASSED
,,,,,,,
Test Cases/Teste de Exclusão,Chrome 136.0.7103.92,,,07-05-2025 21:14:40,07-05-2025 21:15:19,"38,725s",PASSED
"openBrowser("""")",Chrome 136.0.7103.92,,,07-05-2025 21:14:41,07-05-2025 21:14:46,"4,815s",PASSED
"navigateToUrl(""http://127.0.0.1:8000/"")",Chrome 136.0.7103.92,,,07-05-2025 21:14:46,07-05-2025 21:14:46,"0,874s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Lista de Tarefas/a_Exclur""))",Chrome 136.0.7103.92,,,07-05-2025 21:14:46,07-05-2025 21:15:18,"31,821s",PASSED
"click(findTestObject(""Object Repository/Page_TWTodos - Exclur Tarefa/button_Exclur""))",Chrome 136.0.7103.92,,,07-05-2025 21:15:18,07-05-2025 21:15:19,"0,695s",PASSED
